Date,Close,Open,High,Low,Volume,Change%,DailyReturn,MA50,MA200
2000-01-03,1455.2,1469.2,1478.0,1438.4,,-0.95,,,
2000-01-04,1399.4,1455.2,1455.2,1397.4,,-3.83,-0.03834524463991196,,
2000-01-05,1402.1,1399.4,1413.3,1377.7,,0.19,0.001929398313562869,,
2000-01-06,1403.5,1402.1,1411.9,1392.0,,0.1,0.0009985022466301174,,
2000-01-07,1441.5,1403.5,1441.5,1400.5,,2.71,0.027075169219807682,,
2000-01-10,1457.6,1441.5,1464.4,1441.5,,1.12,0.011168921262573628,,
2000-01-11,1438.6,1457.6,1458.8,1434.4,,-1.3,-0.013035126234906658,,
2000-01-12,1432.2,1439.1,1445.3,1427.3,,-0.44,-0.004448769637147132,,
2000-01-13,1449.7,1432.2,1454.6,1432.2,,1.22,0.012218963831867047,,
2000-01-14,1465.2,1449.7,1473.0,1449.7,,1.07,0.01069186728288618,,
2000-01-18,1455.1,1465.2,1465.2,1451.2,,-0.69,-0.006893256893257038,,
2000-01-19,1455.9,1455.1,1462.2,1448.7,,0.05,0.0005497903924129854,,
2000-01-20,1445.6,1455.9,1465.6,1438.6,,-0.71,-0.007074661721272135,,
2000-01-21,1441.4,1445.6,1452.8,1439.5,,-0.29,-0.002905368013281562,,
2000-01-24,1401.5,1441.4,1454.2,1395.4,,-2.77,-0.027681420840849236,,
2000-01-25,1410.0,1401.5,1414.3,1388.5,,0.61,0.0060649304316804376,,
2000-01-26,1404.1,1410.0,1412.5,1400.1,,-0.42,-0.004184397163120579,,
2000-01-27,1398.6,1404.1,1419.0,1380.5,,-0.39,-0.003917099921658007,,
2000-01-28,1360.2,1398.6,1398.6,1356.1,,-2.75,-0.027456027456027376,,
2000-01-31,1394.5,1360.2,1394.5,1350.0,,2.52,0.025216879870607167,,
2000-02-01,1409.3,1394.5,1412.6,1384.8,,1.06,0.010613122983148093,,
2000-02-02,1409.1,1409.3,1420.5,1403.2,,-0.01,-0.0001419144256014082,,
2000-02-03,1425.0,1409.1,1425.8,1398.5,,1.13,0.011283798169044124,,
2000-02-04,1424.4,1425.0,1436.0,1420.5,,-0.04,-0.0004210526315788776,,
2000-02-07,1424.2,1424.4,1427.2,1413.3,,-0.01,-0.0001404099971917816,,
2000-02-08,1441.7,1424.2,1442.0,1424.2,,1.23,0.012287600056171799,,
2000-02-09,1411.7,1443.3,1444.4,1411.6,,-2.08,-0.020808767427342723,,
2000-02-10,1416.8,1411.7,1422.0,1406.4,,0.36,0.0036126655805057695,,
2000-02-11,1387.1,1416.8,1416.8,1379.2,,-2.1,-0.020962732919254656,,
2000-02-14,1389.9,1387.1,1394.9,1380.5,,0.2,0.00201859995674436,,
2000-02-15,1402.0,1389.9,1407.8,1376.2,,0.87,0.008705662277861625,,
2000-02-16,1387.7,1402.0,1404.7,1385.6,,-1.02,-0.010199714693295281,,
2000-02-17,1388.3,1387.7,1399.8,1380.1,,0.04,0.0004323701088131404,,
2000-02-18,1346.1,1388.3,1388.3,1345.3,,-3.04,-0.03039688828063103,,
2000-02-22,1352.2,1346.1,1358.1,1332.0,,0.45,0.004531609835822126,,
2000-02-23,1360.7,1352.2,1370.1,1342.4,,0.63,0.006286052359118388,,
2000-02-24,1353.4,1360.7,1364.5,1329.9,,-0.54,-0.005364885720584911,,
2000-02-25,1333.4,1353.4,1362.1,1329.1,,-1.48,-0.014777597162701328,,
2000-02-28,1348.0,1333.4,1360.8,1325.0,,1.09,0.010949452527373671,,
2000-02-29,1366.4,1348.0,1369.5,1348.0,,1.36,0.013649851632047572,,
2000-03-01,1379.2,1366.4,1383.0,1366.4,,0.94,0.00936768149882905,,
2000-03-02,1381.8,1379.2,1386.9,1370.3,,0.19,0.001885150812064973,,
2000-03-03,1409.2,1381.8,1410.9,1381.8,,1.98,0.01982920827905632,,
2000-03-06,1391.3,1409.2,1409.8,1384.8,,-1.27,-0.012702242407039543,,
2000-03-07,1355.6,1391.3,1399.6,1349.6,,-2.57,-0.025659455185797486,,
2000-03-08,1366.7,1355.6,1373.6,1346.5,,0.82,0.008188256122750204,,
2000-03-09,1401.7,1366.7,1401.8,1357.8,,2.56,0.02560913148459787,,
2000-03-10,1395.1,1401.7,1413.4,1392.1,,-0.47,-0.004708568167225646,,
2000-03-13,1383.6,1395.1,1398.5,1365.3,,-0.82,-0.008243136692710151,,
2000-03-14,1359.2,1383.6,1395.3,1359.1,,-1.76,-0.017635154668979358,1402.254,
2000-03-15,1392.2,1359.2,1398.0,1357.0,,2.43,0.024278987639788197,1400.994,
2000-03-16,1458.5,1392.2,1458.5,1392.2,,4.76,0.047622468036201626,1402.1759999999997,
2000-03-17,1464.5,1458.5,1476.6,1453.2,,0.41,0.00411381556393553,1403.424,
2000-03-20,1456.6,1464.5,1470.2,1448.4,,-0.54,-0.005394332536701962,1404.486,
2000-03-21,1493.9,1456.6,1493.9,1446.0,,2.56,0.02560757929424695,1405.5339999999999,
2000-03-22,1500.6,1493.9,1505.0,1487.4,,0.45,0.0044849052814779355,1406.394,
2000-03-23,1527.3,1500.6,1532.1,1493.8,,1.78,0.017792882846861202,1408.1680000000001,
2000-03-24,1527.5,1527.3,1553.1,1516.8,,0.01,0.00013095004255880838,1410.0739999999998,
2000-03-27,1523.9,1527.5,1534.7,1518.6,,-0.24,-0.0023567921440261763,1411.558,
2000-03-28,1507.7,1523.9,1527.2,1507.2,,-1.06,-0.01063061880700833,1412.408,
2000-03-29,1508.5,1507.7,1521.4,1497.3,,0.05,0.0005306095377064501,1413.4759999999997,
2000-03-30,1487.9,1508.5,1517.4,1474.6,,-1.37,-0.013655949618826546,1414.116,
2000-03-31,1498.6,1487.9,1519.8,1484.5,,0.72,0.007191343504267644,1415.1759999999997,
2000-04-03,1506.0,1498.6,1507.1,1487.1,,0.49,0.004937942079274116,1416.4679999999998,
2000-04-04,1494.7,1506.0,1526.2,1417.2,,-0.75,-0.007503320053120821,1418.332,
2000-04-05,1487.4,1494.7,1506.5,1478.1,,-0.49,-0.004883923195289963,1419.88,
2000-04-06,1501.3,1487.4,1511.8,1487.4,,0.93,0.009345166061583976,1421.8239999999998,
2000-04-07,1516.3,1501.3,1518.7,1501.3,,1.0,0.009991340837940399,1424.178,
2000-04-10,1504.5,1516.3,1527.1,1503.0,,-0.78,-0.0077821011673151474,1427.0640000000003,
2000-04-11,1500.6,1504.5,1512.8,1486.8,,-0.26,-0.0025922233300100794,1429.1860000000001,
2000-04-12,1467.2,1500.6,1510.6,1466.2,,-2.23,-0.022257763561242094,1430.344,
2000-04-13,1440.5,1467.2,1477.4,1440.3,,-1.82,-0.018197928026172372,1430.9719999999998,
2000-04-14,1356.6,1440.5,1440.5,1339.4,,-5.82,-0.05824366539396053,1429.604,
2000-04-17,1401.4,1356.6,1401.5,1346.7,,3.3,0.03302373581011375,1429.144,
2000-04-18,1441.6,1401.4,1441.6,1397.6,,2.87,0.028685600114171317,1429.4920000000002,
2000-04-19,1427.5,1441.6,1447.7,1425.3,,-0.98,-0.009780799112097616,1429.2079999999999,
2000-04-20,1434.5,1427.5,1435.4,1422.0,,0.49,0.004903677758318681,1429.664,
2000-04-24,1429.9,1434.5,1434.5,1407.2,,-0.32,-0.00320669222725678,1429.9259999999997,
2000-04-25,1477.4,1429.9,1477.7,1429.9,,3.32,0.03321910623120505,1431.7320000000002,
2000-04-26,1461.0,1477.4,1482.8,1457.3,,-1.11,-0.011100582103695689,1433.154,
2000-04-27,1464.9,1461.0,1469.1,1434.8,,0.27,0.0026694045174537884,1434.4119999999998,
2000-04-28,1452.4,1464.9,1473.4,1448.5,,-0.85,-0.00853300566591575,1435.7060000000001,
2000-05-01,1468.2,1452.4,1481.4,1452.4,,1.09,0.010878545855136368,1437.3039999999999,
2000-05-02,1446.3,1468.2,1468.2,1445.1,,-1.49,-0.014916223947691098,1439.3080000000002,
2000-05-03,1415.1,1446.3,1446.3,1398.4,,-2.16,-0.021572287907073218,1440.566,
2000-05-04,1409.6,1415.1,1420.5,1405.0,,-0.39,-0.0038866511200621456,1441.5439999999999,
2000-05-05,1432.6,1409.6,1435.9,1405.2,,1.63,0.016316685584562896,1443.128,
2000-05-08,1424.2,1432.6,1432.6,1416.9,,-0.59,-0.00586346502861923,1444.9440000000002,
2000-05-09,1412.1,1424.2,1429.8,1401.9,,-0.85,-0.008495997753124707,1446.226,
2000-05-10,1383.0,1412.1,1412.1,1375.2,,-2.06,-0.020607605693647724,1446.558,
2000-05-11,1407.8,1383.0,1410.2,1383.0,,1.79,0.017932031814895222,1447.13,
2000-05-12,1421.0,1407.8,1430.2,1407.8,,0.94,0.009376331865321719,1447.914,
2000-05-15,1452.4,1421.0,1452.4,1417.0,,2.21,0.02209711470795228,1448.7779999999998,
2000-05-16,1466.0,1452.4,1470.4,1450.8,,0.94,0.009363811622142615,1450.272,
2000-05-17,1447.8,1466.0,1466.0,1441.6,,-1.24,-0.01241473396998638,1452.116,
2000-05-18,1437.2,1447.8,1458.0,1436.7,,-0.73,-0.007321453239397591,1453.5259999999998,
2000-05-19,1407.0,1437.2,1437.2,1401.7,,-2.1,-0.021013080990815558,1453.6319999999998,
2000-05-22,1400.7,1407.0,1410.3,1368.6,,-0.45,-0.004477611940298498,1453.7440000000001,
2000-05-23,1373.9,1400.7,1403.8,1373.4,,-1.91,-0.019133290497608257,1453.55,
2000-05-24,1399.0,1373.9,1401.4,1361.2,,1.83,0.018269160783171978,1454.346,
2000-05-25,1381.5,1399.0,1411.9,1374.0,,-1.25,-0.01250893495353822,1454.132,
2000-05-26,1378.0,1381.5,1391.5,1369.8,,-0.25,-0.002533478103510678,1452.5220000000002,
2000-05-30,1422.5,1378.0,1422.5,1377.8,,3.23,0.03229317851959368,1451.682,
2000-05-31,1420.6,1422.4,1434.6,1415.4,,-0.13,-0.0013356766256591435,1450.9620000000002,
2000-06-01,1448.8,1420.6,1448.8,1420.6,,1.99,0.019850767281430315,1450.06,
2000-06-02,1477.3,1448.8,1483.4,1448.8,,1.97,0.019671452236333486,1449.594,
2000-06-05,1467.6,1477.3,1477.3,1464.7,,-0.66,-0.0065660326270899905,1448.4,
2000-06-06,1457.8,1467.6,1471.3,1454.8,,-0.67,-0.006677568819841939,1447.006,
2000-06-07,1471.4,1457.8,1474.6,1455.2,,0.93,0.009329126080395156,1445.9560000000001,
2000-06-08,1461.7,1471.4,1475.6,1456.5,,-0.66,-0.006592361016718784,1445.036,
2000-06-09,1457.0,1461.7,1472.7,1454.9,,-0.32,-0.003215434083601365,1444.006,
2000-06-12,1446.0,1457.0,1463.0,1446.0,,-0.75,-0.007549759780370646,1443.168,
2000-06-13,1469.4,1446.0,1470.4,1442.5,,1.62,0.01618257261410805,1442.5840000000003,
2000-06-14,1470.5,1469.4,1483.6,1467.8,,0.07,0.0007486048727372019,1441.8740000000003,
2000-06-15,1478.7,1470.5,1482.0,1464.5,,0.56,0.005576334580074782,1441.5539999999999,
2000-06-16,1464.5,1478.7,1481.0,1460.3,,-0.96,-0.009603029688239673,1441.096,
2000-06-19,1486.0,1464.5,1489.0,1459.0,,1.47,0.014680778422669905,1440.79,
2000-06-20,1476.0,1486.0,1487.2,1470.2,,-0.67,-0.006729475100942128,1439.984,
2000-06-21,1479.1,1476.0,1482.2,1468.5,,0.21,0.0021002710027100413,1439.4759999999997,
2000-06-22,1452.2,1479.1,1479.1,1448.1,,-1.82,-0.018186735176796587,1438.5080000000003,
2000-06-23,1441.5,1452.2,1459.8,1438.3,,-0.74,-0.007368131111417209,1437.9940000000001,
2000-06-26,1455.3,1441.5,1462.3,1441.5,,0.96,0.009573361082205967,1438.29,
2000-06-27,1450.5,1455.3,1463.3,1450.5,,-0.33,-0.0032982890125746733,1440.168,
2000-06-28,1454.8,1450.5,1467.6,1450.5,,0.3,0.002964495001723577,1441.236,
2000-06-29,1442.4,1454.8,1455.2,1434.6,,-0.85,-0.00852350838603233,1441.2520000000002,
2000-06-30,1454.6,1442.4,1454.7,1438.8,,0.85,0.008458125346644252,1441.7939999999999,
2000-07-03,1469.5,1454.6,1469.8,1450.8,,1.02,0.01024336587377972,1442.494,
2000-07-05,1446.2,1469.5,1469.5,1442.5,,-1.59,-0.01585573324259948,1442.82,
2000-07-06,1456.7,1446.2,1461.7,1439.6,,0.73,0.007260406582768608,1442.406,
2000-07-07,1478.9,1456.7,1485.2,1456.7,,1.52,0.015239925859820147,1442.764,
2000-07-10,1475.6,1478.9,1486.5,1474.7,,-0.22,-0.0022313881939280966,1442.978,
2000-07-11,1480.9,1475.6,1488.9,1470.5,,0.36,0.003591759284359064,1443.5479999999998,
2000-07-12,1492.9,1480.9,1497.5,1480.9,,0.81,0.008103180498345575,1444.042,
2000-07-13,1495.8,1492.9,1501.4,1489.7,,0.19,0.001942527965704155,1445.032,
2000-07-14,1510.0,1495.8,1510.0,1494.7,,0.95,0.009493247760395729,1446.93,
2000-07-17,1510.5,1510.0,1517.2,1505.3,,0.03,0.0003311258278144713,1448.9479999999999,
2000-07-18,1493.7,1510.5,1510.5,1491.4,,-1.11,-0.011122144985104221,1450.17,
2000-07-19,1482.0,1493.7,1495.5,1479.8,,-0.78,-0.007832898172323799,1451.3259999999998,
2000-07-20,1495.6,1482.0,1501.9,1482.0,,0.92,0.009176788124156454,1452.996,
2000-07-21,1480.2,1495.6,1495.6,1478.0,,-1.03,-0.01029687082107511,1454.94,
2000-07-24,1464.3,1480.2,1485.8,1463.8,,-1.07,-0.010741791649777066,1456.07,
2000-07-25,1474.5,1464.3,1476.3,1464.3,,0.7,0.006965785699651672,1457.14,
2000-07-26,1452.4,1474.5,1474.5,1452.4,,-1.5,-0.014988131570023655,1457.14,
2000-07-27,1449.6,1452.4,1464.8,1445.3,,-0.19,-0.0019278435692647866,1456.8120000000001,
2000-07-28,1419.9,1449.6,1456.3,1414.2,,-2.05,-0.020488410596026352,1456.254,
2000-07-31,1430.8,1419.9,1437.6,1418.3,,0.77,0.00767659694344669,1456.126,
2000-08-01,1438.1,1430.8,1443.5,1428.8,,0.51,0.005102040816326481,1456.7480000000003,
2000-08-02,1438.7,1438.1,1451.6,1433.5,,0.04,0.0004172171615326459,1457.5079999999998,
2000-08-03,1452.6,1438.7,1454.3,1426.0,,0.97,0.009661499965246234,1459.082,
2000-08-04,1462.9,1452.6,1462.9,1451.5,,0.71,0.007090733856533138,1460.36,
2000-08-07,1479.3,1462.9,1480.9,1460.8,,1.12,0.011210609064187471,1462.316,
2000-08-08,1482.8,1479.3,1484.5,1472.6,,0.24,0.0023659839113094883,1464.412,
2000-08-09,1472.9,1482.8,1490.3,1471.2,,-0.67,-0.006676557863501409,1465.42,
2000-08-10,1460.2,1472.9,1475.2,1459.9,,-0.86,-0.00862244551564939,1466.2119999999998,
2000-08-11,1471.8,1460.2,1475.6,1452.9,,0.79,0.007944117244212956,1466.672,
2000-08-14,1491.6,1471.8,1491.6,1468.6,,1.35,0.013452914798206317,1466.958,
2000-08-15,1484.4,1491.6,1493.0,1482.8,,-0.48,-0.0048270313757038386,1467.2939999999999,
2000-08-16,1479.8,1484.4,1494.7,1475.8,,-0.31,-0.003098895176502414,1467.734,
2000-08-17,1496.1,1479.8,1499.5,1479.8,,1.1,0.01101500202730099,1468.2279999999998,
2000-08-18,1491.7,1496.1,1499.5,1488.9,,-0.29,-0.0029409798810239307,1468.8280000000002,
2000-08-21,1499.5,1491.7,1503.0,1491.1,,0.52,0.005228933431655092,1469.678,
2000-08-22,1498.1,1499.5,1508.2,1497.6,,-0.09,-0.0009336445481827882,1470.72,
2000-08-23,1506.0,1498.1,1507.3,1489.4,,0.53,0.00527334623856901,1471.4519999999998,
2000-08-24,1508.3,1506.0,1511.2,1501.3,,0.15,0.0015272244355908349,1472.2079999999999,
2000-08-25,1506.5,1508.3,1513.4,1505.2,,-0.12,-0.0011933965391499601,1472.764,
2000-08-28,1514.1,1507.0,1523.9,1506.5,,0.5,0.0050448058413541386,1473.756,
2000-08-29,1509.8,1514.1,1514.8,1505.5,,-0.28,-0.002839970939832237,1474.2319999999997,
2000-08-30,1502.6,1509.8,1510.4,1500.1,,-0.48,-0.0047688435554378295,1474.764,
2000-08-31,1517.7,1502.6,1525.3,1502.6,,1.0,0.010049247970185027,1475.536,
2000-09-01,1520.8,1517.7,1530.0,1515.6,,0.2,0.002042564406667946,1476.908,
2000-09-05,1507.1,1520.8,1520.8,1504.2,,-0.9,-0.00900841662283014,1478.22,
2000-09-06,1492.2,1507.1,1512.4,1492.2,,-0.99,-0.009886537057925748,1478.958,
2000-09-07,1502.5,1492.2,1505.2,1492.2,,0.69,0.006902559978555045,1479.9980000000003,
2000-09-08,1494.5,1502.5,1502.5,1489.9,,-0.53,-0.0053244592346090025,1480.7920000000001,
2000-09-11,1489.3,1494.5,1506.6,1483.0,,-0.35,-0.0034794245567079107,1481.73,
2000-09-12,1482.0,1489.3,1496.6,1479.9,,-0.49,-0.004901631639025017,1482.2780000000002,
