"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 06- 01","30,513.86","30,295.25","30,633.55","30,241.20","421.50M","0.60%"
"2026- 05- 29","30,333.18","30,333.86","30,470.03","30,210.01","799.22M","0.36%"
"2026- 05- 28","30,223.89","30,030.63","30,263.19","29,848.76","366.44M","0.84%"
"2026- 05- 27","29,973.57","30,081.28","30,099.79","29,808.89","373.94M","-0.09%"
"2026- 05- 26","30,001.32","29,854.58","30,044.49","29,753.09","391.51M","1.76%"
"2026- 05- 22","29,481.64","29,476.29","29,663.89","29,423.63","322.06M","0.42%"
"2026- 05- 21","29,357.27","29,150.13","29,463.49","29,040.04","365.81M","0.20%"
"2026- 05- 20","29,297.70","29,006.57","29,301.28","28,919.44","391.63M","1.66%"
"2026- 05- 19","28,818.84","28,795.02","29,031.92","28,567.16","371.26M","-0.61%"
"2026- 05- 18","28,994.37","29,246.20","29,250.15","28,717.57","371.91M","-0.45%"
"2026- 05- 15","29,125.20","29,191.36","29,387.44","28,991.42","465.89M","-1.54%"
"2026- 05- 14","29,580.30","29,372.65","29,678.89","29,350.10","339.53M","0.73%"
"2026- 05- 13","29,366.94","29,159.95","29,452.26","28,968.55","384.03M","1.04%"
"2026- 05- 12","29,064.80","29,067.36","29,188.07","28,628.64","400.86M","-0.87%"
"2026- 05- 11","29,320.66","29,185.83","29,372.43","29,143.20","419.84M","0.29%"
"2026- 05- 08","29,234.99","28,768.12","29,234.99","28,751.21","426.20M","2.35%"
"2026- 05- 07","28,563.95","28,612.54","28,825.52","28,440.05","413.12M","-0.12%"
"2026- 05- 06","28,599.17","28,234.02","28,608.68","28,208.23","470.96M","2.08%"
"2026- 05- 05","28,015.06","27,895.05","28,065.63","27,844.23","399.15M","1.31%"
"2026- 05- 04","27,651.82","27,731.34","27,822.37","27,504.09","325.91M","-0.21%"
